Draft No. 4,John,McPhee,,,,
Murder Below Zero,John,Reynolds,,,,
The Novelist,Jordan,Castro,,,,
The Gospel According to Jesus Christ,José,Saramago,,,,
Disappearing Earth,Julia,Phillips,,,,
If Then,Kate,Day,,,,
Cyanide with Christie,Katherine,Hyde,,,,
Cyanide with Christie,Katherine,Hyde,,,,
Wintering,Katherine,May,,,,
My Murder,Katie,Williams,,,,
Tell the Machine Goodnight,Katie,Williams,,,,
Klara and the Sun,Kazuo,Ishiguro,,,,
Shady Characters,Keith,Houston,,,,
The Splinter in the Sky,Kemi,Ashing-Giwa,,,,
Invisible Planets,Ken,Liu,,,,
Red Mars,Kim,Robinson,,,,
Aurora,Kim,Robinson,,,,
The Ministry for the Future,Kim,Robinson,,,,
The Surviving Sky,Kritika,Rao,,,,
Five Tuesdays in Winter,Lily,King,,,,
The Sentence,Louise,Erdrich,,,,
The Book of Lost and Found,Lucy,Foley,,,,
The Guest List,Lucy,Foley,,,,
The Hunting Party,Lucy,Foley,,,,
The Invitation,Lucy,Foley,,,,
The Paris Apartment,Lucy,Foley,,,,
Eats Shoots & Leaves,Lynne,Truss,,,,
The Chuckling Fingers,Mabel,Seeley,,,,
The Listening House,Mabel,Seeley,,,,
Infomocracy,Malka,Older,,,,
Null States,Malka,Older,,,,
State Tectonics,Malka,Older,,,,
Cadillac Desert,Marc,Reisner,,,,
Neverworld Wake,Marisha,Pessl,,,,
All Systems Red,Martha,Wells,,,,
Artificial Condition,Martha,Wells,,,,
Exit Strategy,Martha,Wells,,,,
Fugitive Telemetry,Martha,Wells,,,,
Fugitive Telemetry,Martha,Wells,,,,
Home,Martha,Wells,,,,
Network Effect,Martha,Wells,,,,
Rogue Protocol,Martha,Wells,,,,
System Collapse,Martha,Wells,,,,
The Death of the Necromancer,Martha,Wells,,,,
A Town Called Solace,Mary,Lawson,,,,
The Circular Staircase,Mary,Rinehart,,,,
The Midnight Library,Matt,Haig,,,,
The Space Between Worlds,Micaiah,Johnson,,,,
Light Years from Home,Mike,Chen,,,,
Creatures of Passage,Morowa,Yejidé,,,,
The Future,Naomi,Alderman,,,,
Travel Light,Naomi,Mitchison,,,,
The Rediscovery of America,Ned,Blackhawk,,,,
The Trickster's Hat,Nick,Bantock,,,,
The Measure,Nikki,Erlick,,,,
How Long 'til Black Future Month?,NK,Jemisin,,,,
The City We Became,NK,Jemisin,,,,
The Fifth Season,NK,Jemisin,,,,
The Obelisk Gate,NK,Jemisin,,,,
The Stone Sky,NK,Jemisin,,,,
Noor,Nnedi,Okorafor,,,,
The Last Equation of Isaac Severy,Nova,Jacobs,,,,
On Earth We're Briefly Gorgeous,Ocean,Vuong,,,,
Dawn,Octavia,Butler,,,,
Parable of the Sower,Octavia,Butler,,,,
The Doubt Factory,Paolo,Bacigalupi,,,,
The Water Knife,Paolo,Bacigalupi,,,,
The Chocolate Touch,Patrick,Catling,,,,
The Librarianist,Patrick,deWitt,,,,
Everything You Know about Indians Is Wrong,Paul,Chaat-Smith,,,,
I Have Some Questions for You,Rebecca,Makkai,,,,
A House Between Earth and the Moon,Rebecca,Scherm,,,,
Men Explain Things to Me,Rebecca,Solnit,,,,
Tomorrow Factory: Collected Fiction,Rich,Larson,,,,
The Thursday Murder Club,Richard,Osman,,,,
The Paradox Hotel,Rob,Hart,,,,
Burnt Offerings,Robert,Marasco,,,,
In a Dark Dark Wood,Ruth,Ware,,,,
One by One,Ruth,Ware,,,,
The Death of Mrs. Westaway,Ruth,Ware,,,,
The It Girl,Ruth,Ware,,,,
The Lying Game,Ruth,Ware,,,,
